id,nama bahan,kategori
GR062,"Ikan Puntin, segar",Lauk
GP031,"Ikan sale lais, mentah",Lauk
GR072,"Ikan Sale, segar",Lauk
GP032,"Ikan saluang, kering, mentah",Lauk
GR065,"Ikan saluang, segar",Lauk
GP033,"Ikan sanggang, masakan",Lauk
GR066,"Ikan sarden, segar",Lauk
GP034,"Ikan selar kuning, cue, mentah",Lauk
GP035,"Ikan selar, kering, mentah",Lauk
GR067,"Ikan selar, segar",Lauk
GP036,"Ikan sepat, kering, mentah",Lauk
GR068,"Ikan sepat, segar",Lauk
GR069,"Ikan sidat, segar",Lauk
GP037,"Ikan sunu, asin, mentah",Lauk
GR070,"Ikan sunu, segar",Lauk
GR071,"Ikan tahuman, segar",Lauk
GR073,"Ikan tarmon, segar",Lauk
GR074,"Ikan telan, segar",Lauk
GR075,"Ikan tembang, segar",Lauk
GR076,"Ikan tempahas, segar",Lauk
GR077,"Ikan terbang, segar",Lauk
GP039,"Ikan Teri nasi, kering, mentah",Lauk
GP040,"Ikan Teri, bubuk, mentah",Lauk
GP041,"Ikan teri, kering, mentah",Lauk
GP042,"Ikan Teri, kering, tawar, mentah",Lauk
GR078,"Ikan teri, segar",Lauk
GP043,"Ikan Teri, tepung, mentah",Lauk
GR079,"Ikan titang, segar",Lauk
GR080,"Ikan tongkol, segar",Lauk
GR081,"Ikan turi, segar",Lauk
GR018,"Ikan, cakalang, segar",Lauk
GP038,"Ikan, tepung, mentah",Lauk
GP070,Jambal goreng,Lauk
GP071,"Jukku pallu kaloa, masakan",Lauk
GP072,"Kaholeo, masakan",Lauk
GR037,"Keong, segar",Lauk
GR038,"Kepiting, segar",Lauk
GP044,"Kerang, asap, mentah",Lauk
GP045,"Kerang, dendeng, mentah",Lauk
GR039,"Kerang, segar",Lauk
GR042,"Kodok, segar",Lauk
GR043,"Kura-kura, segar",Lauk
GR044,"Kuro, segar",Lauk
GP073,"Lawara penjah, masakan",Lauk
GR051,"Lokan, segar",Lauk
GP074,"Model, masakan",Lauk
GP075,"Mujahir acar kuning, masakan",Lauk
GP076,"Parede baleh, masakan",Lauk
GP077,Pempek adaan,Lauk
GP078,Pempek belida,Lauk
GP079,Pempek kapal selam,Lauk
GP080,Pempek kelesan,Lauk
GP081,Pempek kulit,Lauk
GP082,Pempek telur,Lauk
GP083,Pempek tenggiri,Lauk
GP084,"Pencok lele, masakan",Lauk
GP085,"Pinda, masakan",Lauk
GP086,"Pindang kenari, masakan",Lauk
GR063,"Rajungan, segar",Lauk
GP046,"Rebon, kering, mentah",Lauk
GR064,"Rebon, udang kecil, segar",Lauk
GP047,"Rebung laut, mentah",Lauk
GP048,Rusip,Lauk
GP087,"Saboko gurita, masakan",Lauk
GP088,"Saboko saltan, masakan",Lauk
GP089,"Saboko sardin, masakan",Lauk
GP049,Sardines dalam kaleng,Lauk
GP090,Sate Bandeng,Lauk
GP091,"Sepi, masakan",Lauk
GP092,Tekwan,Lauk
GP093,"Teri balado, masakan",Lauk
GP050,"Teripang, dendeng, mentah",Lauk
GP094,Tumis bandeng,Lauk
GP095,Tumis keumamah,Lauk
GR083,"Udang galah, segar",Lauk
GP051,"Udang kering, mentah",Lauk
GP052,"Udang papay, mentah",Lauk
GR082,"Udang, besar, segar",Lauk
GR084,"Udang, segar",Lauk
HP005,"Bayau mi balu, masakan",Lauk
HP006,"Cucuru bayau, masakan",Lauk
HP004,"Ikan, telur, asin, mentah",Lauk
HP007,"Kalio telur, masakan",Lauk
HR001,"Telur ayam kampung, segar",Lauk
HR003,"Telur ayam ras, bagian kuning, segar",Lauk
HR004,"Telur ayam ras, bagian putih, segar",Lauk
HR002,"Telur ayam ras, segar",Lauk
HP001,"Telur ayam, dadar, masakan",Lauk
HR005,"Telur bebek alabio, segar",Lauk
HR008,"Telur bebek tambak, segar",Lauk
HP002,"Telur bebek, asin, mentah",Lauk
HR006,"Telur bebek, bagian kuning, segar",Lauk
HR007,"Telur bebek, bagian putih, segar",Lauk
HP003,"Telur bebek, dadar, masakan",Lauk
HR009,"Telur burung maleo, segar",Lauk
HR011,"Telur burung puyuh, segar",Lauk
HR010,"Telur penyu, segar",Lauk
AP001,Nasi,Pokok
AP005,Nasi beras merah,Pokok
AP009,Nasi jagung,Pokok
AP092,Nasi rames,Pokok
DR001,"Akar tonjong, segar",sayur
DR002,"Ale,toge, segar",sayur
DR003,"Andaliman, segar",sayur
DR004,"Andewi, segar",sayur
DP023,"Anyang, sayur",sayur
DP024,"Ares, sayur",sayur
DP025,Arwan sirsir,sayur
DP022,"Asinan Bogor, sayuran",sayur
DR005,"Bakung, segar",sayur
DR006,"Baligo, segar",sayur
DR007,"Bawang bombay, segar",sayur
DR009,"Bayam merah, segar",sayur
DP001,"Bayam, kukus",sayur
DP002,"Bayam, rebus",sayur
DR008,"Bayam, segar",sayur
DP026,Beberuk,sayur
DR010,"Bit, segar",sayur
DP027,Botok lamtoro,sayur
DR011,Buah kelor,sayur
DR012,Buah merah,sayur
DP003,"Buncis, rebus",sayur
DR013,"Buncis, segar",sayur
DR014,"Bunga pepaya, segar",sayur
DR015,"Bunga turi, segar",sayur
DP028,Buntil daun talas,sayur
DR016,"Caisin, segar",sayur
DP029,Cammetutu,sayur
DP030,"Cap cai, sayur",sayur
DR017,"Daun bangun-bangun, segar",sayur
DR018,"Daun bawang merah, segar",sayur
DR019,"Daun bebuas, segar",sayur
DR020,"Daun belem, segar",sayur
DR021,"Daun bluntas, segar",sayur
DR022,"Daun gandaria, segar",sayur
DR023,"Daun gedi besar, segar",sayur
DR024,"Daun gedi kecil, segar",sayur
DR025,"Daun gelang, segar",sayur
DR026,"Daun gunda bali, segar",sayur
DR027,"Daun gunda serang, segar",sayur
DR028,"Daun jambu mete muda, segar",sayur
DR029,"Daun jampang, segar",sayur
DR030,"Daun jawaw seluang, segar",sayur
DR031,"Daun jonghe, segar",sayur
DR032,"Daun kacang ma, segar",sayur
DP004,"Daun kacang panjang, kukus",sayur
DR033,"Daun kacang panjang, segar",sayur
DR034,"Daun kasbi/singkong karet, segar",sayur
DP005,"Daun katuk, rebus",sayur
DR035,"Daun katuk, segar",sayur
DR036,"Daun kecipir, segar",sayur
DR037,"Daun kedondong, segar",sayur
DP006,"Daun kelor, rebus",sayur
DR038,"Daun kelor, segar",sayur
DR039,"Daun kemangi, segar",sayur
DR040,"Daun kenikir, segar",sayur
DR041,"Daun kesum, segar",sayur
DR042,"Daun kol sawi, segar",sayur
DR043,"Daun koro, segar",sayur
DR044,"Daun kubis, segar",sayur
DR045,"Daun kumak, segar",sayur
DR046,"Daun labu siam, segar",sayur
DR047,"Daun labu waluh/kuning, segar",sayur
DR048,"Daun lamtoro, segar",sayur
DR049,"Daun leilem, segar",sayur
DR050,"Daun leunca, segar",sayur
DR051,"Daun lobak, segar",sayur
DR052,"Daun lompong talas, segar",sayur
DR053,"Daun mangkokan, segar",sayur
DR054,"Daun matel ambon, segar",sayur
DR055,"Daun melinjo, segar",sayur
DP007,"Daun mengkudu, kukus",sayur
DR056,"Daun mengkudu, segar",sayur
DR057,"Daun ndusuk, segar",sayur
DR058,"Daun oyong, segar",sayur
DR060,"Daun pakis longgiho, segar",sayur
DR061,"Daun pakis wambateu, segar",sayur
DR059,"Daun pakis, segar",sayur
DR062,"Daun paku, segar",sayur
DR063,"Daun pangi,segar",sayur
DR064,"Daun pare, segar",sayur
DR065,"Daun pepaya, segar",sayur
DR066,"Daun pohpohan, segar",sayur
DR067,"Daun selasih, segar",sayur
DR068,"Daun semanggi, segar",sayur
DR069,"Daun simpur, segar",sayur
DR070,"Daun singkil, segar",sayur
DR072,"Daun singkong ambon, segar",sayur
DR073,"Daun singkong ampenan, segar",sayur
DR074,"Daun singkong kopang, segar",sayur
DP008,"Daun singkong, rebus",sayur
DR071,"Daun singkong, segar",sayur
DR075,"Daun sintrong, segar",sayur
DP009,"Daun talas, rebus",sayur
DR076,"Daun talas, segar",sayur
DR077,"Daun tespong, segar",sayur
DR078,"Daun ubi kuning, segar",sayur
DP010,"Daun ubi merah, kukus",sayur
DR079,"Daun ubi merah, segar",sayur
DR080,"Daun ubi putih, segar",sayur
DR081,"Daun ubi tinta, segar",sayur
DR082,"Eceng, segar",sayur
DP031,Gado-gado,sayur
DR083,"Gambas (oyong), segar",sayur
DR084,"Genjer, segar",sayur
DP032,"Gudeg, sayur",sayur
DP033,Gulai pakis,sayur
DP034,Gulai pliek,sayur
DR085,"Jagung muda / semi, segar",sayur
DR086,Jamur encik,sayur
DR087,"Jamur kuping, kering",sayur
DR088,"Jamur kuping, segar",sayur
DR089,"Jamur merang, segar",sayur
DR091,Jamur sagu,sayur
DR090,"Jamur tiram, segar",sayur
DR092,"Jantung pisang, segar",sayur
DR093,"Jengkol, segar",sayur
DR094,"Jotang, segar",sayur
DR095,"Kabau, segar",sayur
DR096,"Kacang mekah, polong, segar",sayur
DP011,"Kacang panjang, kukus",sayur
DP012,"Kacang panjang, rebus",sayur
DR097,"Kacang panjang, segar",sayur
DR098,Kacang ranti polong,sayur
DP035,Kadada katembe,sayur
DR099,"Kalakai, segar",sayur
DR101,Kangkung tondano,sayur
DP013,"Kangkung, kukus",sayur
DP014,"Kangkung, rebus",sayur
DR100,"Kangkung, segar",sayur
DP036,"Kaparende, sayur",sayur
DR102,"Kapri muda, segar",sayur
DR103,Karawila,sayur
DP037,"Karedok, sayur",sayur
DR104,"Kecipir muda, segar",sayur
DR105,"Kecombrang, segar",sayur
DR106,"Kelawi,kluwih, segar",sayur
DR113,Kembang Kol,sayur
DR107,"Kembang turi, segar",sayur
DP038,Keripik bayam,sayur
DR108,"Kerokot, segar",sayur
DR110,"Ketimun krai, segar",sayur
DR111,"Ketimun madura, segar",sayur
DR109,"Ketimun, segar",sayur
DR114,"Kol merah, kol putih",sayur
DR112,"Komak, segar",sayur
DR115,"Koro kerupuk, polong",sayur
DR116,"Koro wedus, polong",sayur
DP039,Kotiu hinela tawang nggole,sayur
DR118,"Kucai muda (Lokio), segar",sayur
DR117,"Kucai, segar",sayur
DR119,Kulit melinjo,sayur
DR120,"Kundur, segar",sayur
DR121,"Labu air, segar",sayur
DR122,"Labu kuning, segar",sayur
DR123,"Labu siam, segar",sayur
DR124,"Labu waluh, segar",sayur
DR125,"Lantar, segar",sayur
DP040,Lema/Rebung asam,sayur
DP041,Lilin bungkus gedi,sayur
DR126,"Lobak, segar",sayur
DR127,"Lumai/Leunca, segar",sayur
DR128,"Melinjo, segar",sayur
DR129,Mostarda metan - sawi hijau,sayur
DR130,"Nangka muda, segar",sayur
DP042,Olah-olah,sayur
DP043,Paku hinela wulelenggapaya,sayur
DP015,"Paria putih, kukus",sayur
DR131,"Paria putih, segar",sayur
DP044,Pelecing kangkung,sayur
DR132,"Pepare ular, segar",sayur
DR133,"Pepaya muda, segar",sayur
DR134,"Petai, segar",sayur
DR135,"Peterseli, segar",sayur
DR136,"Pucuk lumai/daun leunca, segar",sayur
DP045,Purundawa,sayur
DR137,"Putri malu, segar",sayur
DR138,"Rebung, segar",sayur
DR139,"Rimbang, segar",sayur
DP046,Rujak cingur,sayur
DR140,Rumput laut,sayur
DR142,"Sawi putih / pecai, segar",sayur
DR143,"Sawi taiwan, segar",sayur
DR144,"Sawi tanah, segar",sayur
DR141,"Sawi, segar",sayur
DP047,Sayur asem,sayur
DP048,Sayur bunga pepaya,sayur
DP049,Sayur garu,sayur
DP050,Sayur kohu-kohu,sayur
DP051,Sayur lilin-terubuk,sayur
DP052,Sayur ndusuk,sayur
DP053,Sayur sop,sayur
DP054,Sayur umbut kelapa,sayur
DP055,Sayur umbut rotan,sayur
DR146,"Selada air, segar",sayur
DP016,"Selada, rebus",sayur
DR145,"Selada, segar",sayur
DR147,"Seledri, segar",sayur
DP057,"Semur jengkol",sayur
DP056,"Shabu-shabu",sayur
DR149,"Taoge kacang kedelai, segar",sayur
DR150,"Taoge kacang tunggak, segar",sayur
DP017,"Taoge, goreng",sayur
DP018,"Taoge, seduh",sayur
DR148,"Taoge, segar",sayur
DR151,"Tebu terubuk (lilin), segar",sayur
DR153,"Tekokak, kering",sayur
DR152,"Tekokak, segar",sayur
DR155,"Terong asam, segar",sayur
DR158,"Terong hintalo, segar",sayur
DR154,"Terong, segar",sayur
DR156,"Terung belanda, segar",sayur
DR157,"Terung bengkulu, segar",sayur
DR159,Terung panjang,sayur
DP019,"Terung panjang, kukus",sayur
DP058,Tinira ninahu nggaluku,sayur
DR161,"Tomat merah, segar",sayur
DR162,"Tomat muda, segar",sayur
DR160,"Tomat, air (sari), segar",sayur
DP059,Tumis bayam bersantan,sayur
DR163,"Uceng/ bunga melinjo, segar",sayur
DR164,"Umbut kelapa, segar",sayur
DR165,Umbut rotan,sayur
DP060,Waluh balamak,sayur
DP061,Woku ubi,sayur
DP021,"Wortel, kukus",sayur
DP020,"Wortel, rebus",sayur
DR166,"Wortel, segar",sayur
CP015,Ampas kacang hijau,Lauk
CP017,Ampas tahu kukus,Lauk
CP018,"Ampas tahu, kering",Lauk
CP016,"Ampas tahu, mentah",Lauk
CP020,Bungkil biji karet,Lauk
CP021,Bungkil kacang tanah,Lauk
CP022,Bungkil kelapa,Lauk
CP023,Dodol banjarmasin,Lauk
CP024,Emping (kerupuk melinjo),Lauk
